%
Copyright (C) 2021  Intel Corporation. All rights reserved.
Your use of Intel Corporation's design tools, logic functions 
and other software and tools, and any partner logic 
functions, and any output files from any of the foregoing 
(including device programming or simulation files), and any 
associated documentation or information are expressly subject 
to the terms and conditions of the Intel Program License 
Subscription Agreement, the Intel Quartus Prime License Agreement,
the Intel FPGA IP License Agreement, or other applicable license
agreement, including, without limitation, that your use is for
the sole purpose of programming logic devices manufactured by
Intel and sold by Intel or its authorized distributors.  Please
refer to the applicable agreement for further details, at
https://fpgasoftware.intel.com/eula.
%

GROUP CREATE bit_num[31..0] = bit_num[31] bit_num[30] bit_num[29] bit_num[28] bit_num[27] bit_num[26] bit_num[25] bit_num[24] bit_num[23] bit_num[22] bit_num[21] bit_num[20] bit_num[19] bit_num[18] bit_num[17] bit_num[16] bit_num[15] bit_num[14] bit_num[13] bit_num[12] bit_num[11] bit_num[10] bit_num[9] bit_num[8] bit_num[7] bit_num[6] bit_num[5] bit_num[4] bit_num[3] bit_num[2] bit_num[1] bit_num[0] ;
INPUTS CLK_10M;
OUTPUTS GSCLK state.0000 state.0001 state.0010 state.0011 state.0100 state.0101 state.0110 state.1000 state.1001 LAT SCLK SDOs[0] SDOs[1] SDOs[2] SDOs[3] bit_num[31..0];
UNIT ns;
RADIX HEX;
PATTERN
            0.0> 0 = X X X X X X X X X X X X X X X X XXXXXXXX 
    500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FF 
   1000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FF 
   1500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FF 
   2000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FF 
   2500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FE 
   3000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FE 
   3500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FE 
   4000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FE 
   4500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FD 
   5000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FD 
   5500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FD 
   6000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FD 
   6500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FC 
   7000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FC 
   7500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FC 
   8000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FC 
   8500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FB 
   9000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FB 
   9500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FB 
  10000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FB 
  10500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FA 
  11000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001FA 
  11500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FA 
  12000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001FA 
  12500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F9 
  13000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F9 
  13500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F9 
  14000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F9 
  14500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F8 
  15000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F8 
  15500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F8 
  16000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F8 
  16500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F7 
  17000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F7 
  17500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F7 
  18000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F7 
  18500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F6 
  19000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F6 
  19500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F6 
  20000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F6 
  20500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F5 
  21000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F5 
  21500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F5 
  22000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F5 
  22500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F4 
  23000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F4 
  23500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F4 
  24000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F4 
  24500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F3 
  25000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F3 
  25500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F3 
  26000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F3 
  26500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F2 
  27000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F2 
  27500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F2 
  28000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F2 
  28500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F1 
  29000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F1 
  29500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F1 
  30000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 000001F1 
  30500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F0 
  31000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 000001F0 
  31500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001F0 
  32000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001F0 
  32500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EF 
  33000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EF 
  33500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EF 
  34000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EF 
  34500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EE 
  35000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EE 
  35500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EE 
  36000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EE 
  36500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001ED 
  37000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001ED 
  37500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001ED 
  38000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001ED 
  38500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EC 
  39000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EC 
  39500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EC 
  40000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EC 
  40500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EB 
  41000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EB 
  41500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EB 
  42000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EB 
  42500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EA 
  43000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001EA 
  43500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EA 
  44000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001EA 
  44500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E9 
  45000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E9 
  45500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E9 
  46000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E9 
  46500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E8 
  47000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E8 
  47500000000.0> 1 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E8 
  48000000000.0> 0 = 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E8 
  48500000000.0> 1 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E7 
  49000000000.0> 0 = 1 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E7 
  49500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E7 
  50000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E7 
  50500000000.0> 1 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E6 
  51000000000.0> 0 = 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 1 000001E6 
  51500000000.0> 1 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E6 
  52000000000.0> 0 = 1 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 000001E6 
